Название,Артикул,Текущая_цена,История_цен
/ Брюки на резинке джинсовые,146909539,2 320 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 202931}}, {""dt"": 1739059200, ""price"": {""RUB"": 197593}}, {""dt"": 1739664000, ""price"": {""RUB"": 196838}}, {""dt"": 1740268800, ""price"": {""RUB"": 225695}}, {""dt"": 1740873600, ""price"": {""RUB"": 235838}}, {""dt"": 1741478400, ""price"": {""RUB"": 238047}}, {""dt"": 1742083200, ""price"": {""RUB"": 237538}}, {""dt"": 1742688000, ""price"": {""RUB"": 242322}}, {""dt"": 1743292800, ""price"": {""RUB"": 242093}}, {""dt"": 1743897600, ""price"": {""RUB"": 241716}}, {""dt"": 1744502400, ""price"": {""RUB"": 245221}}, {""dt"": 1745107200, ""price"": {""RUB"": 246580}}]"
/ Домашний костюм с бриджами,177672567,1 031 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 95417}}, {""dt"": 1739059200, ""price"": {""RUB"": 100188}}, {""dt"": 1739664000, ""price"": {""RUB"": 96494}}, {""dt"": 1740268800, ""price"": {""RUB"": 96235}}, {""dt"": 1740873600, ""price"": {""RUB"": 98249}}, {""dt"": 1741478400, ""price"": {""RUB"": 109784}}, {""dt"": 1742083200, ""price"": {""RUB"": 112176}}, {""dt"": 1742688000, ""price"": {""RUB"": 114028}}, {""dt"": 1743292800, ""price"": {""RUB"": 113255}}, {""dt"": 1743897600, ""price"": {""RUB"": 107890}}, {""dt"": 1744502400, ""price"": {""RUB"": 108654}}, {""dt"": 1745107200, ""price"": {""RUB"": 108535}}]"
/ Шорты на резинке трикотажные летние для подростка набор 2 шт,212113225,1 609 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 191500}}, {""dt"": 1739059200, ""price"": {""RUB"": 197950}}, {""dt"": 1739664000, ""price"": {""RUB"": 194000}}, {""dt"": 1740268800, ""price"": {""RUB"": 167800}}, {""dt"": 1740873600, ""price"": {""RUB"": 173800}}, {""dt"": 1741478400, ""price"": {""RUB"": 166300}}, {""dt"": 1742688000, ""price"": {""RUB"": 174067}}, {""dt"": 1743292800, ""price"": {""RUB"": 169660}}, {""dt"": 1743897600, ""price"": {""RUB"": 167957}}, {""dt"": 1744502400, ""price"": {""RUB"": 165321}}, {""dt"": 1745107200, ""price"": {""RUB"": 163766}}]"
/ Костюм женский летний с шортами,160967438,3 515 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 387000}}, {""dt"": 1739059200, ""price"": {""RUB"": 298254}}, {""dt"": 1739664000, ""price"": {""RUB"": 271420}}, {""dt"": 1740268800, ""price"": {""RUB"": 270323}}, {""dt"": 1740873600, ""price"": {""RUB"": 283633}}, {""dt"": 1741478400, ""price"": {""RUB"": 281722}}, {""dt"": 1742083200, ""price"": {""RUB"": 288369}}, {""dt"": 1742688000, ""price"": {""RUB"": 307754}}, {""dt"": 1743292800, ""price"": {""RUB"": 311400}}, {""dt"": 1743897600, ""price"": {""RUB"": 306311}}, {""dt"": 1744502400, ""price"": {""RUB"": 310255}}, {""dt"": 1745107200, ""price"": {""RUB"": 310047}}]"
/ Лонгслив большого размера кофта на лето,206893199,993 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 108575}}, {""dt"": 1739059200, ""price"": {""RUB"": 107295}}, {""dt"": 1739664000, ""price"": {""RUB"": 107966}}, {""dt"": 1740268800, ""price"": {""RUB"": 115506}}, {""dt"": 1740873600, ""price"": {""RUB"": 112688}}, {""dt"": 1741478400, ""price"": {""RUB"": 118557}}, {""dt"": 1742083200, ""price"": {""RUB"": 117288}}, {""dt"": 1742688000, ""price"": {""RUB"": 117641}}, {""dt"": 1743292800, ""price"": {""RUB"": 110214}}, {""dt"": 1743897600, ""price"": {""RUB"": 76527}}, {""dt"": 1744502400, ""price"": {""RUB"": 79774}}, {""dt"": 1745107200, ""price"": {""RUB"": 91251}}]"
/ Платье в садик с коротким рукавом,295716338,423 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 48055}}, {""dt"": 1739059200, ""price"": {""RUB"": 47601}}, {""dt"": 1739664000, ""price"": {""RUB"": 47091}}, {""dt"": 1740268800, ""price"": {""RUB"": 47326}}, {""dt"": 1740873600, ""price"": {""RUB"": 48969}}, {""dt"": 1741478400, ""price"": {""RUB"": 48888}}, {""dt"": 1742083200, ""price"": {""RUB"": 48610}}, {""dt"": 1742688000, ""price"": {""RUB"": 48757}}, {""dt"": 1743292800, ""price"": {""RUB"": 45126}}, {""dt"": 1743897600, ""price"": {""RUB"": 44966}}, {""dt"": 1744502400, ""price"": {""RUB"": 45123}}, {""dt"": 1745107200, ""price"": {""RUB"": 44984}}]"
/ Футболка топ женский летний оверсайз,113298673,654 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 58491}}, {""dt"": 1739059200, ""price"": {""RUB"": 59402}}, {""dt"": 1739664000, ""price"": {""RUB"": 59040}}, {""dt"": 1740268800, ""price"": {""RUB"": 58886}}, {""dt"": 1740873600, ""price"": {""RUB"": 59153}}, {""dt"": 1741478400, ""price"": {""RUB"": 59705}}, {""dt"": 1742083200, ""price"": {""RUB"": 59871}}, {""dt"": 1742688000, ""price"": {""RUB"": 60175}}, {""dt"": 1743292800, ""price"": {""RUB"": 61597}}, {""dt"": 1743897600, ""price"": {""RUB"": 63040}}, {""dt"": 1744502400, ""price"": {""RUB"": 59997}}, {""dt"": 1745107200, ""price"": {""RUB"": 57652}}]"
/ Туника домашняя пляжная хлопок с карманом и капюшоном,214617414,1 107 ₽,"[{""dt"": 1741478400, ""price"": {""RUB"": 112400}}, {""dt"": 1742083200, ""price"": {""RUB"": 112400}}, {""dt"": 1742688000, ""price"": {""RUB"": 113643}}, {""dt"": 1743292800, ""price"": {""RUB"": 112200}}, {""dt"": 1743897600, ""price"": {""RUB"": 112240}}, {""dt"": 1744502400, ""price"": {""RUB"": 107344}}, {""dt"": 1745107200, ""price"": {""RUB"": 108088}}]"
/ Костюм домашний лапша с брюками трикотажный весенний,154570802,1 882 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 184180}}, {""dt"": 1739059200, ""price"": {""RUB"": 175911}}, {""dt"": 1739664000, ""price"": {""RUB"": 172255}}, {""dt"": 1740268800, ""price"": {""RUB"": 173327}}, {""dt"": 1740873600, ""price"": {""RUB"": 182810}}, {""dt"": 1741478400, ""price"": {""RUB"": 183457}}, {""dt"": 1742083200, ""price"": {""RUB"": 187338}}, {""dt"": 1742688000, ""price"": {""RUB"": 186759}}, {""dt"": 1743292800, ""price"": {""RUB"": 186001}}, {""dt"": 1743897600, ""price"": {""RUB"": 185192}}, {""dt"": 1744502400, ""price"": {""RUB"": 184731}}, {""dt"": 1745107200, ""price"": {""RUB"": 186032}}]"
Тактический костюм камуфляж мультикам летний,217205970,3 985 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 374439}}, {""dt"": 1739059200, ""price"": {""RUB"": 373895}}, {""dt"": 1739664000, ""price"": {""RUB"": 375447}}, {""dt"": 1740268800, ""price"": {""RUB"": 375595}}, {""dt"": 1740873600, ""price"": {""RUB"": 378475}}, {""dt"": 1741478400, ""price"": {""RUB"": 384607}}, {""dt"": 1742083200, ""price"": {""RUB"": 396369}}, {""dt"": 1742688000, ""price"": {""RUB"": 396557}}, {""dt"": 1743292800, ""price"": {""RUB"": 394273}}, {""dt"": 1743897600, ""price"": {""RUB"": 390597}}, {""dt"": 1744502400, ""price"": {""RUB"": 380892}}, {""dt"": 1745107200, ""price"": {""RUB"": 380204}}]"
