Название,Артикул,Текущая_цена,История_цен
/ Брюки бананы со стрелками классические широкие,237212212,3 582 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 312463}}, {""dt"": 1739059200, ""price"": {""RUB"": 310257}}, {""dt"": 1739664000, ""price"": {""RUB"": 312314}}, {""dt"": 1740268800, ""price"": {""RUB"": 301669}}, {""dt"": 1740873600, ""price"": {""RUB"": 278819}}, {""dt"": 1741478400, ""price"": {""RUB"": 277519}}, {""dt"": 1742083200, ""price"": {""RUB"": 311411}}, {""dt"": 1742688000, ""price"": {""RUB"": 336645}}, {""dt"": 1743292800, ""price"": {""RUB"": 346490}}, {""dt"": 1743897600, ""price"": {""RUB"": 361705}}, {""dt"": 1744502400, ""price"": {""RUB"": 360503}}, {""dt"": 1745107200, ""price"": {""RUB"": 359018}}]"
/ Платье для девочки с коротким рукавом в сад и прогулки,336194877,376 ₽,"[{""dt"": 1740268800, ""price"": {""RUB"": 45700}}, {""dt"": 1740873600, ""price"": {""RUB"": 42553}}, {""dt"": 1741478400, ""price"": {""RUB"": 40264}}, {""dt"": 1742083200, ""price"": {""RUB"": 39177}}, {""dt"": 1742688000, ""price"": {""RUB"": 40150}}, {""dt"": 1743292800, ""price"": {""RUB"": 40153}}, {""dt"": 1743897600, ""price"": {""RUB"": 39174}}, {""dt"": 1744502400, ""price"": {""RUB"": 38425}}, {""dt"": 1745107200, ""price"": {""RUB"": 38003}}]"
/ Футболка оверсайз для подростка,362402958,1 007 ₽,"[{""dt"": 1742688000, ""price"": {""RUB"": 112638}}, {""dt"": 1743292800, ""price"": {""RUB"": 112485}}, {""dt"": 1743897600, ""price"": {""RUB"": 112721}}, {""dt"": 1744502400, ""price"": {""RUB"": 102390}}, {""dt"": 1745107200, ""price"": {""RUB"": 100959}}]"
/ Рубашка хаори черная оверсайз,173548197,962 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 95481}}, {""dt"": 1739059200, ""price"": {""RUB"": 93922}}, {""dt"": 1739664000, ""price"": {""RUB"": 96111}}, {""dt"": 1740268800, ""price"": {""RUB"": 96170}}, {""dt"": 1740873600, ""price"": {""RUB"": 94532}}, {""dt"": 1741478400, ""price"": {""RUB"": 93237}}, {""dt"": 1742083200, ""price"": {""RUB"": 91453}}, {""dt"": 1742688000, ""price"": {""RUB"": 91347}}, {""dt"": 1743292800, ""price"": {""RUB"": 94793}}, {""dt"": 1743897600, ""price"": {""RUB"": 87601}}, {""dt"": 1744502400, ""price"": {""RUB"": 85936}}, {""dt"": 1745107200, ""price"": {""RUB"": 91990}}]"
/ Тонкий джемпер,175368064,1 375 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 279335}}, {""dt"": 1739059200, ""price"": {""RUB"": 275155}}, {""dt"": 1739664000, ""price"": {""RUB"": 269797}}, {""dt"": 1740268800, ""price"": {""RUB"": 239524}}, {""dt"": 1740873600, ""price"": {""RUB"": 231565}}, {""dt"": 1741478400, ""price"": {""RUB"": 187696}}, {""dt"": 1742083200, ""price"": {""RUB"": 163420}}, {""dt"": 1742688000, ""price"": {""RUB"": 163512}}, {""dt"": 1743292800, ""price"": {""RUB"": 161147}}, {""dt"": 1743897600, ""price"": {""RUB"": 137858}}, {""dt"": 1744502400, ""price"": {""RUB"": 135432}}, {""dt"": 1745107200, ""price"": {""RUB"": 135214}}]"
/ Платье лапша летнее школьное для девочки,291334751,1 827 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 180050}}, {""dt"": 1739059200, ""price"": {""RUB"": 196900}}, {""dt"": 1739664000, ""price"": {""RUB"": 215900}}, {""dt"": 1740873600, ""price"": {""RUB"": 174340}}, {""dt"": 1741478400, ""price"": {""RUB"": 178198}}, {""dt"": 1742083200, ""price"": {""RUB"": 178300}}, {""dt"": 1742688000, ""price"": {""RUB"": 182890}}, {""dt"": 1743292800, ""price"": {""RUB"": 179130}}, {""dt"": 1743897600, ""price"": {""RUB"": 182100}}, {""dt"": 1744502400, ""price"": {""RUB"": 181200}}, {""dt"": 1745107200, ""price"": {""RUB"": 180512}}]"
/ Костюм трикотажный шорты с футболкой,155189814,1 549 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 175790}}, {""dt"": 1739059200, ""price"": {""RUB"": 169264}}, {""dt"": 1739664000, ""price"": {""RUB"": 162457}}, {""dt"": 1740268800, ""price"": {""RUB"": 163746}}, {""dt"": 1740873600, ""price"": {""RUB"": 161605}}, {""dt"": 1741478400, ""price"": {""RUB"": 160943}}, {""dt"": 1742083200, ""price"": {""RUB"": 149830}}, {""dt"": 1742688000, ""price"": {""RUB"": 147985}}, {""dt"": 1743292800, ""price"": {""RUB"": 150604}}, {""dt"": 1743897600, ""price"": {""RUB"": 153586}}, {""dt"": 1744502400, ""price"": {""RUB"": 154272}}, {""dt"": 1745107200, ""price"": {""RUB"": 153631}}]"
/ Велосипедки,159196166,258 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 34227}}, {""dt"": 1739059200, ""price"": {""RUB"": 33939}}, {""dt"": 1739664000, ""price"": {""RUB"": 33457}}, {""dt"": 1740268800, ""price"": {""RUB"": 33660}}, {""dt"": 1740873600, ""price"": {""RUB"": 34754}}, {""dt"": 1741478400, ""price"": {""RUB"": 32218}}, {""dt"": 1742083200, ""price"": {""RUB"": 26928}}, {""dt"": 1742688000, ""price"": {""RUB"": 26431}}, {""dt"": 1743292800, ""price"": {""RUB"": 26513}}, {""dt"": 1743897600, ""price"": {""RUB"": 26399}}, {""dt"": 1744502400, ""price"": {""RUB"": 26205}}, {""dt"": 1745107200, ""price"": {""RUB"": 25842}}]"
/ Халат летний тонкий махровый больших размеров,171975895,805 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 91022}}, {""dt"": 1739059200, ""price"": {""RUB"": 90683}}, {""dt"": 1739664000, ""price"": {""RUB"": 86331}}, {""dt"": 1740268800, ""price"": {""RUB"": 87063}}, {""dt"": 1740873600, ""price"": {""RUB"": 87274}}, {""dt"": 1741478400, ""price"": {""RUB"": 87899}}, {""dt"": 1742083200, ""price"": {""RUB"": 86096}}, {""dt"": 1742688000, ""price"": {""RUB"": 85767}}, {""dt"": 1743292800, ""price"": {""RUB"": 86756}}, {""dt"": 1743897600, ""price"": {""RUB"": 86514}}, {""dt"": 1744502400, ""price"": {""RUB"": 91238}}, {""dt"": 1745107200, ""price"": {""RUB"": 83224}}]"
/ Брюки на резинке джинсовые,146909539,2 320 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 202931}}, {""dt"": 1739059200, ""price"": {""RUB"": 197593}}, {""dt"": 1739664000, ""price"": {""RUB"": 196838}}, {""dt"": 1740268800, ""price"": {""RUB"": 225695}}, {""dt"": 1740873600, ""price"": {""RUB"": 235838}}, {""dt"": 1741478400, ""price"": {""RUB"": 238047}}, {""dt"": 1742083200, ""price"": {""RUB"": 237538}}, {""dt"": 1742688000, ""price"": {""RUB"": 242322}}, {""dt"": 1743292800, ""price"": {""RUB"": 242093}}, {""dt"": 1743897600, ""price"": {""RUB"": 241716}}, {""dt"": 1744502400, ""price"": {""RUB"": 245221}}, {""dt"": 1745107200, ""price"": {""RUB"": 246580}}]"
