Название,Артикул,Текущая_цена,История_цен
/ Джинсы широкие багги трубы прямые,329377250,2 201 ₽,"[{""dt"": 1742688000, ""price"": {""RUB"": 369400}}, {""dt"": 1743292800, ""price"": {""RUB"": 312333}}, {""dt"": 1743897600, ""price"": {""RUB"": 326167}}, {""dt"": 1744502400, ""price"": {""RUB"": 333719}}, {""dt"": 1745107200, ""price"": {""RUB"": 341040}}]"
/ Футболка хлопок однотонная,154671151,715 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 66609}}, {""dt"": 1739059200, ""price"": {""RUB"": 67909}}, {""dt"": 1739664000, ""price"": {""RUB"": 71266}}, {""dt"": 1740268800, ""price"": {""RUB"": 71906}}, {""dt"": 1740873600, ""price"": {""RUB"": 65857}}, {""dt"": 1741478400, ""price"": {""RUB"": 71118}}, {""dt"": 1742083200, ""price"": {""RUB"": 71614}}, {""dt"": 1742688000, ""price"": {""RUB"": 68735}}, {""dt"": 1743292800, ""price"": {""RUB"": 64627}}, {""dt"": 1743897600, ""price"": {""RUB"": 64854}}, {""dt"": 1744502400, ""price"": {""RUB"": 68145}}, {""dt"": 1745107200, ""price"": {""RUB"": 67979}}]"
/ Костюм летний с шортами,336828900,3 871 ₽,"[{""dt"": 1742083200, ""price"": {""RUB"": 439167}}, {""dt"": 1742688000, ""price"": {""RUB"": 425767}}, {""dt"": 1743292800, ""price"": {""RUB"": 418577}}, {""dt"": 1743897600, ""price"": {""RUB"": 414972}}, {""dt"": 1744502400, ""price"": {""RUB"": 412781}}, {""dt"": 1745107200, ""price"": {""RUB"": 413489}}]"
/ Ветровка весенняя с капюшоном удлиненная,346611508,2 981 ₽,"[{""dt"": 1742083200, ""price"": {""RUB"": 431225}}, {""dt"": 1742688000, ""price"": {""RUB"": 405341}}, {""dt"": 1743292800, ""price"": {""RUB"": 375617}}, {""dt"": 1743897600, ""price"": {""RUB"": 365291}}, {""dt"": 1744502400, ""price"": {""RUB"": 355287}}, {""dt"": 1745107200, ""price"": {""RUB"": 356143}}]"
/ Костюм летний с шортами,336827049,3 871 ₽,"[{""dt"": 1741478400, ""price"": {""RUB"": 441750}}, {""dt"": 1742083200, ""price"": {""RUB"": 430043}}, {""dt"": 1742688000, ""price"": {""RUB"": 444467}}, {""dt"": 1743292800, ""price"": {""RUB"": 425125}}, {""dt"": 1743897600, ""price"": {""RUB"": 415980}}, {""dt"": 1744502400, ""price"": {""RUB"": 416558}}, {""dt"": 1745107200, ""price"": {""RUB"": 410106}}]"
/ Костюм летний с шортами,336835842,3 788 ₽,"[{""dt"": 1743292800, ""price"": {""RUB"": 437550}}, {""dt"": 1743897600, ""price"": {""RUB"": 416100}}, {""dt"": 1744502400, ""price"": {""RUB"": 416033}}, {""dt"": 1745107200, ""price"": {""RUB"": 406738}}]"
/ Ветровка весенняя с капюшоном удлиненная,348468093,2 981 ₽,"[{""dt"": 1742688000, ""price"": {""RUB"": 443800}}, {""dt"": 1743292800, ""price"": {""RUB"": 385723}}, {""dt"": 1743897600, ""price"": {""RUB"": 366196}}, {""dt"": 1744502400, ""price"": {""RUB"": 365554}}, {""dt"": 1745107200, ""price"": {""RUB"": 367211}}]"
/ Костюм летний с шортами,336836191,3 871 ₽,"[{""dt"": 1740873600, ""price"": {""RUB"": 442900}}, {""dt"": 1741478400, ""price"": {""RUB"": 444700}}, {""dt"": 1742083200, ""price"": {""RUB"": 433983}}, {""dt"": 1742688000, ""price"": {""RUB"": 435683}}, {""dt"": 1743292800, ""price"": {""RUB"": 420333}}, {""dt"": 1743897600, ""price"": {""RUB"": 480400}}, {""dt"": 1744502400, ""price"": {""RUB"": 424900}}, {""dt"": 1745107200, ""price"": {""RUB"": 406150}}]"
/ брюки классические зауженные Турция,151463493,2 994 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 222583}}, {""dt"": 1739059200, ""price"": {""RUB"": 229944}}, {""dt"": 1739664000, ""price"": {""RUB"": 230263}}, {""dt"": 1740268800, ""price"": {""RUB"": 232739}}, {""dt"": 1740873600, ""price"": {""RUB"": 256940}}, {""dt"": 1741478400, ""price"": {""RUB"": 245114}}, {""dt"": 1742083200, ""price"": {""RUB"": 282220}}, {""dt"": 1742688000, ""price"": {""RUB"": 301300}}, {""dt"": 1743292800, ""price"": {""RUB"": 295600}}, {""dt"": 1743897600, ""price"": {""RUB"": 340360}}, {""dt"": 1744502400, ""price"": {""RUB"": 355400}}, {""dt"": 1745107200, ""price"": {""RUB"": 346986}}]"
/ Футболка скимс базовая облегающая,345460324,1 030 ₽,"[{""dt"": 1744502400, ""price"": {""RUB"": 109252}}, {""dt"": 1745107200, ""price"": {""RUB"": 106175}}]"
/ Шорты трикотажные,334852111,1 097 ₽,"[{""dt"": 1740873600, ""price"": {""RUB"": 113351}}, {""dt"": 1741478400, ""price"": {""RUB"": 113327}}, {""dt"": 1742083200, ""price"": {""RUB"": 118166}}, {""dt"": 1742688000, ""price"": {""RUB"": 120608}}, {""dt"": 1743292800, ""price"": {""RUB"": 115863}}, {""dt"": 1743897600, ""price"": {""RUB"": 111702}}, {""dt"": 1744502400, ""price"": {""RUB"": 108305}}, {""dt"": 1745107200, ""price"": {""RUB"": 108244}}]"
/ Джинсы скинни зауженные к низу,139357645,2 897 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 297209}}, {""dt"": 1739059200, ""price"": {""RUB"": 284408}}, {""dt"": 1739664000, ""price"": {""RUB"": 283019}}, {""dt"": 1740268800, ""price"": {""RUB"": 294119}}, {""dt"": 1740873600, ""price"": {""RUB"": 302783}}, {""dt"": 1741478400, ""price"": {""RUB"": 308533}}, {""dt"": 1742083200, ""price"": {""RUB"": 302085}}, {""dt"": 1742688000, ""price"": {""RUB"": 308148}}, {""dt"": 1743292800, ""price"": {""RUB"": 304586}}, {""dt"": 1743897600, ""price"": {""RUB"": 300230}}, {""dt"": 1744502400, ""price"": {""RUB"": 294874}}, {""dt"": 1745107200, ""price"": {""RUB"": 297641}}]"
