Название,Артикул,Текущая_цена,История_цен
/ Костюм летний рубашка с шортами,156517006,1 834 ₽,"[{""dt"": 1740873600, ""price"": {""RUB"": 202500}}, {""dt"": 1741478400, ""price"": {""RUB"": 177179}}, {""dt"": 1742083200, ""price"": {""RUB"": 187333}}, {""dt"": 1742688000, ""price"": {""RUB"": 191300}}, {""dt"": 1743292800, ""price"": {""RUB"": 188425}}, {""dt"": 1743897600, ""price"": {""RUB"": 175200}}, {""dt"": 1744502400, ""price"": {""RUB"": 165800}}, {""dt"": 1745107200, ""price"": {""RUB"": 166500}}]"
/ В рубчик кроп топ с вырезом,155336133,779 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 83433}}, {""dt"": 1739059200, ""price"": {""RUB"": 82550}}, {""dt"": 1739664000, ""price"": {""RUB"": 79722}}, {""dt"": 1740268800, ""price"": {""RUB"": 79180}}, {""dt"": 1740873600, ""price"": {""RUB"": 78514}}, {""dt"": 1741478400, ""price"": {""RUB"": 74578}}, {""dt"": 1742083200, ""price"": {""RUB"": 74528}}, {""dt"": 1742688000, ""price"": {""RUB"": 74363}}, {""dt"": 1743292800, ""price"": {""RUB"": 74165}}, {""dt"": 1743897600, ""price"": {""RUB"": 74200}}, {""dt"": 1744502400, ""price"": {""RUB"": 74171}}, {""dt"": 1745107200, ""price"": {""RUB"": 75128}}]"
/ Костюм летний рубашка с шортами спортивный,154478273,1 834 ₽,"[{""dt"": 1739664000, ""price"": {""RUB"": 174000}}, {""dt"": 1740268800, ""price"": {""RUB"": 178600}}, {""dt"": 1743897600, ""price"": {""RUB"": 182400}}]"
/ Сарафан,146085892,1 712 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 98431}}, {""dt"": 1739059200, ""price"": {""RUB"": 97600}}, {""dt"": 1739664000, ""price"": {""RUB"": 94502}}, {""dt"": 1740268800, ""price"": {""RUB"": 93909}}, {""dt"": 1740873600, ""price"": {""RUB"": 95783}}, {""dt"": 1741478400, ""price"": {""RUB"": 94620}}, {""dt"": 1742083200, ""price"": {""RUB"": 96943}}, {""dt"": 1742688000, ""price"": {""RUB"": 110067}}, {""dt"": 1743292800, ""price"": {""RUB"": 131400}}, {""dt"": 1744502400, ""price"": {""RUB"": 126200}}, {""dt"": 1745107200, ""price"": {""RUB"": 134696}}]"
/ Повседневные свободные шорты,155616332,713 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 58250}}, {""dt"": 1739059200, ""price"": {""RUB"": 57249}}, {""dt"": 1739664000, ""price"": {""RUB"": 53213}}, {""dt"": 1740268800, ""price"": {""RUB"": 56815}}, {""dt"": 1740873600, ""price"": {""RUB"": 56543}}, {""dt"": 1741478400, ""price"": {""RUB"": 50700}}, {""dt"": 1742083200, ""price"": {""RUB"": 50999}}, {""dt"": 1742688000, ""price"": {""RUB"": 71600}}, {""dt"": 1743292800, ""price"": {""RUB"": 73580}}, {""dt"": 1743897600, ""price"": {""RUB"": 72350}}, {""dt"": 1744502400, ""price"": {""RUB"": 70912}}, {""dt"": 1745107200, ""price"": {""RUB"": 59175}}]"
/ Шорты летние трикотажные,151532534,1 281 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 120106}}, {""dt"": 1739059200, ""price"": {""RUB"": 123406}}, {""dt"": 1739664000, ""price"": {""RUB"": 117618}}, {""dt"": 1740268800, ""price"": {""RUB"": 118745}}, {""dt"": 1740873600, ""price"": {""RUB"": 125529}}, {""dt"": 1741478400, ""price"": {""RUB"": 126520}}, {""dt"": 1742083200, ""price"": {""RUB"": 128848}}, {""dt"": 1742688000, ""price"": {""RUB"": 131311}}, {""dt"": 1743292800, ""price"": {""RUB"": 132530}}, {""dt"": 1743897600, ""price"": {""RUB"": 126600}}, {""dt"": 1744502400, ""price"": {""RUB"": 126235}}, {""dt"": 1745107200, ""price"": {""RUB"": 127238}}]"
/ Футболка удлиненная оверсайз с принтом для дома и пляжа,157374703,1 806 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 168913}}, {""dt"": 1739059200, ""price"": {""RUB"": 169677}}, {""dt"": 1739664000, ""price"": {""RUB"": 166067}}, {""dt"": 1740268800, ""price"": {""RUB"": 166255}}, {""dt"": 1740873600, ""price"": {""RUB"": 170868}}, {""dt"": 1741478400, ""price"": {""RUB"": 190897}}, {""dt"": 1742083200, ""price"": {""RUB"": 221880}}, {""dt"": 1742688000, ""price"": {""RUB"": 184560}}, {""dt"": 1743292800, ""price"": {""RUB"": 170829}}, {""dt"": 1743897600, ""price"": {""RUB"": 179686}}, {""dt"": 1744502400, ""price"": {""RUB"": 211893}}, {""dt"": 1745107200, ""price"": {""RUB"": 197431}}]"
"/ Джоггеры мужские джинсовые, спортивные брюки на резинке",139998664,2 597 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 249697}}, {""dt"": 1739059200, ""price"": {""RUB"": 246265}}, {""dt"": 1739664000, ""price"": {""RUB"": 245167}}, {""dt"": 1740268800, ""price"": {""RUB"": 242336}}, {""dt"": 1740873600, ""price"": {""RUB"": 240644}}, {""dt"": 1741478400, ""price"": {""RUB"": 238924}}, {""dt"": 1742083200, ""price"": {""RUB"": 241720}}, {""dt"": 1742688000, ""price"": {""RUB"": 249405}}, {""dt"": 1743292800, ""price"": {""RUB"": 249213}}, {""dt"": 1743897600, ""price"": {""RUB"": 250077}}, {""dt"": 1744502400, ""price"": {""RUB"": 252566}}, {""dt"": 1745107200, ""price"": {""RUB"": 257883}}]"
/ Летний костюм для девочки широкая футболка и штаны,150651137,2 083 ₽,"[{""dt"": 1742083200, ""price"": {""RUB"": 169600}}, {""dt"": 1742688000, ""price"": {""RUB"": 150237}}, {""dt"": 1743292800, ""price"": {""RUB"": 158700}}, {""dt"": 1743897600, ""price"": {""RUB"": 191725}}, {""dt"": 1745107200, ""price"": {""RUB"": 177500}}]"
/ Футболка поло с коротким рукавом old money,329506374,3 049 ₽,"[{""dt"": 1741478400, ""price"": {""RUB"": 233222}}, {""dt"": 1742083200, ""price"": {""RUB"": 266716}}, {""dt"": 1742688000, ""price"": {""RUB"": 287094}}, {""dt"": 1743292800, ""price"": {""RUB"": 291871}}, {""dt"": 1743897600, ""price"": {""RUB"": 296048}}, {""dt"": 1744502400, ""price"": {""RUB"": 300257}}, {""dt"": 1745107200, ""price"": {""RUB"": 294831}}]"
/ Футболка оверсайз с принтом базовая в полоску,331726399,2 202 ₽,"[{""dt"": 1742083200, ""price"": {""RUB"": 237500}}, {""dt"": 1742688000, ""price"": {""RUB"": 239800}}, {""dt"": 1743292800, ""price"": {""RUB"": 229067}}, {""dt"": 1743897600, ""price"": {""RUB"": 218650}}, {""dt"": 1744502400, ""price"": {""RUB"": 221200}}, {""dt"": 1745107200, ""price"": {""RUB"": 231943}}]"
/ Брюки бананы классические зауженные с подворотом,327575712,4 204 ₽,"[{""dt"": 1740873600, ""price"": {""RUB"": 229500}}, {""dt"": 1741478400, ""price"": {""RUB"": 242379}}, {""dt"": 1742083200, ""price"": {""RUB"": 275108}}, {""dt"": 1742688000, ""price"": {""RUB"": 284456}}, {""dt"": 1743292800, ""price"": {""RUB"": 328467}}, {""dt"": 1743897600, ""price"": {""RUB"": 347919}}, {""dt"": 1744502400, ""price"": {""RUB"": 353413}}, {""dt"": 1745107200, ""price"": {""RUB"": 372770}}]"
/ Костюм летний рубашка с шортами,156517006,1 834 ₽,"[{""dt"": 1740873600, ""price"": {""RUB"": 202500}}, {""dt"": 1741478400, ""price"": {""RUB"": 177179}}, {""dt"": 1742083200, ""price"": {""RUB"": 187333}}, {""dt"": 1742688000, ""price"": {""RUB"": 191300}}, {""dt"": 1743292800, ""price"": {""RUB"": 188425}}, {""dt"": 1743897600, ""price"": {""RUB"": 175200}}, {""dt"": 1744502400, ""price"": {""RUB"": 165800}}, {""dt"": 1745107200, ""price"": {""RUB"": 166500}}]"
/ В рубчик кроп топ с вырезом,155336133,779 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 83433}}, {""dt"": 1739059200, ""price"": {""RUB"": 82550}}, {""dt"": 1739664000, ""price"": {""RUB"": 79722}}, {""dt"": 1740268800, ""price"": {""RUB"": 79180}}, {""dt"": 1740873600, ""price"": {""RUB"": 78514}}, {""dt"": 1741478400, ""price"": {""RUB"": 74578}}, {""dt"": 1742083200, ""price"": {""RUB"": 74528}}, {""dt"": 1742688000, ""price"": {""RUB"": 74363}}, {""dt"": 1743292800, ""price"": {""RUB"": 74165}}, {""dt"": 1743897600, ""price"": {""RUB"": 74200}}, {""dt"": 1744502400, ""price"": {""RUB"": 74171}}, {""dt"": 1745107200, ""price"": {""RUB"": 75128}}]"
/ Костюм летний рубашка с шортами спортивный,154478273,1 834 ₽,"[{""dt"": 1739664000, ""price"": {""RUB"": 174000}}, {""dt"": 1740268800, ""price"": {""RUB"": 178600}}, {""dt"": 1743897600, ""price"": {""RUB"": 182400}}]"
/ Сарафан,146085892,1 712 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 98431}}, {""dt"": 1739059200, ""price"": {""RUB"": 97600}}, {""dt"": 1739664000, ""price"": {""RUB"": 94502}}, {""dt"": 1740268800, ""price"": {""RUB"": 93909}}, {""dt"": 1740873600, ""price"": {""RUB"": 95783}}, {""dt"": 1741478400, ""price"": {""RUB"": 94620}}, {""dt"": 1742083200, ""price"": {""RUB"": 96943}}, {""dt"": 1742688000, ""price"": {""RUB"": 110067}}, {""dt"": 1743292800, ""price"": {""RUB"": 131400}}, {""dt"": 1744502400, ""price"": {""RUB"": 126200}}, {""dt"": 1745107200, ""price"": {""RUB"": 134696}}]"
/ Повседневные свободные шорты,155616332,713 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 58250}}, {""dt"": 1739059200, ""price"": {""RUB"": 57249}}, {""dt"": 1739664000, ""price"": {""RUB"": 53213}}, {""dt"": 1740268800, ""price"": {""RUB"": 56815}}, {""dt"": 1740873600, ""price"": {""RUB"": 56543}}, {""dt"": 1741478400, ""price"": {""RUB"": 50700}}, {""dt"": 1742083200, ""price"": {""RUB"": 50999}}, {""dt"": 1742688000, ""price"": {""RUB"": 71600}}, {""dt"": 1743292800, ""price"": {""RUB"": 73580}}, {""dt"": 1743897600, ""price"": {""RUB"": 72350}}, {""dt"": 1744502400, ""price"": {""RUB"": 70912}}, {""dt"": 1745107200, ""price"": {""RUB"": 59175}}]"
/ Шорты летние трикотажные,151532534,1 281 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 120106}}, {""dt"": 1739059200, ""price"": {""RUB"": 123406}}, {""dt"": 1739664000, ""price"": {""RUB"": 117618}}, {""dt"": 1740268800, ""price"": {""RUB"": 118745}}, {""dt"": 1740873600, ""price"": {""RUB"": 125529}}, {""dt"": 1741478400, ""price"": {""RUB"": 126520}}, {""dt"": 1742083200, ""price"": {""RUB"": 128848}}, {""dt"": 1742688000, ""price"": {""RUB"": 131311}}, {""dt"": 1743292800, ""price"": {""RUB"": 132530}}, {""dt"": 1743897600, ""price"": {""RUB"": 126600}}, {""dt"": 1744502400, ""price"": {""RUB"": 126235}}, {""dt"": 1745107200, ""price"": {""RUB"": 127238}}]"
/ Футболка удлиненная оверсайз с принтом для дома и пляжа,157374703,1 806 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 168913}}, {""dt"": 1739059200, ""price"": {""RUB"": 169677}}, {""dt"": 1739664000, ""price"": {""RUB"": 166067}}, {""dt"": 1740268800, ""price"": {""RUB"": 166255}}, {""dt"": 1740873600, ""price"": {""RUB"": 170868}}, {""dt"": 1741478400, ""price"": {""RUB"": 190897}}, {""dt"": 1742083200, ""price"": {""RUB"": 221880}}, {""dt"": 1742688000, ""price"": {""RUB"": 184560}}, {""dt"": 1743292800, ""price"": {""RUB"": 170829}}, {""dt"": 1743897600, ""price"": {""RUB"": 179686}}, {""dt"": 1744502400, ""price"": {""RUB"": 211893}}, {""dt"": 1745107200, ""price"": {""RUB"": 197431}}]"
/ Топ на бретелях летний набор,348121831,503 ₽,"[{""dt"": 1743292800, ""price"": {""RUB"": 45512}}, {""dt"": 1743897600, ""price"": {""RUB"": 46382}}, {""dt"": 1744502400, ""price"": {""RUB"": 52435}}, {""dt"": 1745107200, ""price"": {""RUB"": 56355}}]"
/ Велосипедки спортивные утягивающие,144558080,686 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 54029}}, {""dt"": 1739059200, ""price"": {""RUB"": 55250}}, {""dt"": 1739664000, ""price"": {""RUB"": 56342}}, {""dt"": 1740268800, ""price"": {""RUB"": 56922}}, {""dt"": 1740873600, ""price"": {""RUB"": 58319}}, {""dt"": 1741478400, ""price"": {""RUB"": 59342}}, {""dt"": 1742083200, ""price"": {""RUB"": 59466}}, {""dt"": 1742688000, ""price"": {""RUB"": 58108}}, {""dt"": 1743292800, ""price"": {""RUB"": 57052}}, {""dt"": 1743897600, ""price"": {""RUB"": 56730}}, {""dt"": 1744502400, ""price"": {""RUB"": 58502}}, {""dt"": 1745107200, ""price"": {""RUB"": 62887}}]"
/ Лонгслив кофта оверсайз большого размера хлопок 2025,153618539,1 437 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 107009}}, {""dt"": 1739059200, ""price"": {""RUB"": 107989}}, {""dt"": 1739664000, ""price"": {""RUB"": 108018}}, {""dt"": 1740268800, ""price"": {""RUB"": 108563}}, {""dt"": 1740873600, ""price"": {""RUB"": 114350}}, {""dt"": 1741478400, ""price"": {""RUB"": 104183}}, {""dt"": 1742083200, ""price"": {""RUB"": 103983}}, {""dt"": 1742688000, ""price"": {""RUB"": 104589}}, {""dt"": 1743292800, ""price"": {""RUB"": 101134}}, {""dt"": 1743897600, ""price"": {""RUB"": 99852}}, {""dt"": 1744502400, ""price"": {""RUB"": 105275}}, {""dt"": 1745107200, ""price"": {""RUB"": 117753}}]"
/ Зауженные джинсы скинни с высокой посадкой,142726117,1 670 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 178326}}, {""dt"": 1739059200, ""price"": {""RUB"": 176902}}, {""dt"": 1739664000, ""price"": {""RUB"": 172558}}, {""dt"": 1740268800, ""price"": {""RUB"": 170977}}, {""dt"": 1740873600, ""price"": {""RUB"": 173909}}, {""dt"": 1741478400, ""price"": {""RUB"": 176807}}, {""dt"": 1742083200, ""price"": {""RUB"": 177566}}, {""dt"": 1742688000, ""price"": {""RUB"": 170636}}, {""dt"": 1743292800, ""price"": {""RUB"": 167532}}, {""dt"": 1743897600, ""price"": {""RUB"": 164006}}, {""dt"": 1744502400, ""price"": {""RUB"": 163652}}, {""dt"": 1745107200, ""price"": {""RUB"": 164794}}]"
/ Блузка оверсайз летняя офисная с коротким рукавом,158799796,1 364 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 133100}}, {""dt"": 1739059200, ""price"": {""RUB"": 123658}}, {""dt"": 1739664000, ""price"": {""RUB"": 120987}}, {""dt"": 1740268800, ""price"": {""RUB"": 128187}}, {""dt"": 1740873600, ""price"": {""RUB"": 127238}}, {""dt"": 1741478400, ""price"": {""RUB"": 154153}}, {""dt"": 1742083200, ""price"": {""RUB"": 163850}}, {""dt"": 1742688000, ""price"": {""RUB"": 178171}}, {""dt"": 1743292800, ""price"": {""RUB"": 173967}}, {""dt"": 1743897600, ""price"": {""RUB"": 176892}}, {""dt"": 1744502400, ""price"": {""RUB"": 167197}}, {""dt"": 1745107200, ""price"": {""RUB"": 143426}}]"
/ Костюм летний рубашка с шортами,156517006,1 834 ₽,"[{""dt"": 1740873600, ""price"": {""RUB"": 202500}}, {""dt"": 1741478400, ""price"": {""RUB"": 177179}}, {""dt"": 1742083200, ""price"": {""RUB"": 187333}}, {""dt"": 1742688000, ""price"": {""RUB"": 191300}}, {""dt"": 1743292800, ""price"": {""RUB"": 188425}}, {""dt"": 1743897600, ""price"": {""RUB"": 175200}}, {""dt"": 1744502400, ""price"": {""RUB"": 165800}}, {""dt"": 1745107200, ""price"": {""RUB"": 166500}}]"
/ В рубчик кроп топ с вырезом,155336133,779 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 83433}}, {""dt"": 1739059200, ""price"": {""RUB"": 82550}}, {""dt"": 1739664000, ""price"": {""RUB"": 79722}}, {""dt"": 1740268800, ""price"": {""RUB"": 79180}}, {""dt"": 1740873600, ""price"": {""RUB"": 78514}}, {""dt"": 1741478400, ""price"": {""RUB"": 74578}}, {""dt"": 1742083200, ""price"": {""RUB"": 74528}}, {""dt"": 1742688000, ""price"": {""RUB"": 74363}}, {""dt"": 1743292800, ""price"": {""RUB"": 74165}}, {""dt"": 1743897600, ""price"": {""RUB"": 74200}}, {""dt"": 1744502400, ""price"": {""RUB"": 74171}}, {""dt"": 1745107200, ""price"": {""RUB"": 75128}}]"
/ Костюм летний рубашка с шортами спортивный,154478273,1 834 ₽,"[{""dt"": 1739664000, ""price"": {""RUB"": 174000}}, {""dt"": 1740268800, ""price"": {""RUB"": 178600}}, {""dt"": 1743897600, ""price"": {""RUB"": 182400}}]"
/ Сарафан,146085892,1 712 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 98431}}, {""dt"": 1739059200, ""price"": {""RUB"": 97600}}, {""dt"": 1739664000, ""price"": {""RUB"": 94502}}, {""dt"": 1740268800, ""price"": {""RUB"": 93909}}, {""dt"": 1740873600, ""price"": {""RUB"": 95783}}, {""dt"": 1741478400, ""price"": {""RUB"": 94620}}, {""dt"": 1742083200, ""price"": {""RUB"": 96943}}, {""dt"": 1742688000, ""price"": {""RUB"": 110067}}, {""dt"": 1743292800, ""price"": {""RUB"": 131400}}, {""dt"": 1744502400, ""price"": {""RUB"": 126200}}, {""dt"": 1745107200, ""price"": {""RUB"": 134696}}]"
/ Повседневные свободные шорты,155616332,713 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 58250}}, {""dt"": 1739059200, ""price"": {""RUB"": 57249}}, {""dt"": 1739664000, ""price"": {""RUB"": 53213}}, {""dt"": 1740268800, ""price"": {""RUB"": 56815}}, {""dt"": 1740873600, ""price"": {""RUB"": 56543}}, {""dt"": 1741478400, ""price"": {""RUB"": 50700}}, {""dt"": 1742083200, ""price"": {""RUB"": 50999}}, {""dt"": 1742688000, ""price"": {""RUB"": 71600}}, {""dt"": 1743292800, ""price"": {""RUB"": 73580}}, {""dt"": 1743897600, ""price"": {""RUB"": 72350}}, {""dt"": 1744502400, ""price"": {""RUB"": 70912}}, {""dt"": 1745107200, ""price"": {""RUB"": 59175}}]"
/ Шорты летние трикотажные,151532534,1 281 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 120106}}, {""dt"": 1739059200, ""price"": {""RUB"": 123406}}, {""dt"": 1739664000, ""price"": {""RUB"": 117618}}, {""dt"": 1740268800, ""price"": {""RUB"": 118745}}, {""dt"": 1740873600, ""price"": {""RUB"": 125529}}, {""dt"": 1741478400, ""price"": {""RUB"": 126520}}, {""dt"": 1742083200, ""price"": {""RUB"": 128848}}, {""dt"": 1742688000, ""price"": {""RUB"": 131311}}, {""dt"": 1743292800, ""price"": {""RUB"": 132530}}, {""dt"": 1743897600, ""price"": {""RUB"": 126600}}, {""dt"": 1744502400, ""price"": {""RUB"": 126235}}, {""dt"": 1745107200, ""price"": {""RUB"": 127238}}]"
/ Футболка удлиненная оверсайз с принтом для дома и пляжа,157374703,1 806 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 168913}}, {""dt"": 1739059200, ""price"": {""RUB"": 169677}}, {""dt"": 1739664000, ""price"": {""RUB"": 166067}}, {""dt"": 1740268800, ""price"": {""RUB"": 166255}}, {""dt"": 1740873600, ""price"": {""RUB"": 170868}}, {""dt"": 1741478400, ""price"": {""RUB"": 190897}}, {""dt"": 1742083200, ""price"": {""RUB"": 221880}}, {""dt"": 1742688000, ""price"": {""RUB"": 184560}}, {""dt"": 1743292800, ""price"": {""RUB"": 170829}}, {""dt"": 1743897600, ""price"": {""RUB"": 179686}}, {""dt"": 1744502400, ""price"": {""RUB"": 211893}}, {""dt"": 1745107200, ""price"": {""RUB"": 197431}}]"
/ Футболка в школу на физру и сад и на лето,144765173,291 ₽,"[{""dt"": 1738454400, ""price"": {""RUB"": 25517}}, {""dt"": 1739059200, ""price"": {""RUB"": 25221}}, {""dt"": 1739664000, ""price"": {""RUB"": 24847}}, {""dt"": 1740268800, ""price"": {""RUB"": 28284}}, {""dt"": 1740873600, ""price"": {""RUB"": 33791}}, {""dt"": 1741478400, ""price"": {""RUB"": 33173}}, {""dt"": 1742083200, ""price"": {""RUB"": 30508}}, {""dt"": 1742688000, ""price"": {""RUB"": 32754}}, {""dt"": 1743292800, ""price"": {""RUB"": 33830}}, {""dt"": 1743897600, ""price"": {""RUB"": 32157}}, {""dt"": 1744502400, ""price"": {""RUB"": 31699}}, {""dt"": 1745107200, ""price"": {""RUB"": 30835}}]"
/ Джинсовая куртка джинсовка,157270353,2 460 ₽,"[{""dt"": 1740873600, ""price"": {""RUB"": 239850}}, {""dt"": 1741478400, ""price"": {""RUB"": 242433}}, {""dt"": 1742083200, ""price"": {""RUB"": 242440}}, {""dt"": 1742688000, ""price"": {""RUB"": 245500}}, {""dt"": 1743292800, ""price"": {""RUB"": 246229}}, {""dt"": 1743897600, ""price"": {""RUB"": 229850}}, {""dt"": 1744502400, ""price"": {""RUB"": 223975}}, {""dt"": 1745107200, ""price"": {""RUB"": 223330}}]"
